"","name","version","date","size"
"3","knitr","0.1",2012-01-17,102
"4","knitr","0.2",2012-01-28,221
"5","knitr","0.3",2012-02-28,231
"6","knitr","0.4",2012-04-29,236
"7","knitr","0.5",2012-04-29,248
"8","knitr","0.6.3",2012-06-22,292
"9","knitr","0.6",2012-06-11,286
"10","knitr","0.7",2012-07-17,325
"11","knitr","0.8",2012-09-04,425
"12","knitr","0.9",2013-01-20,431
"13","knitr","1.0.5",2013-01-21,441
"14","knitr","1.0",2013-01-14,441
"15","knitr","1.1",2013-02-16,519
"16","knitr","1.2",2013-07-16,486
"17","knitr","1.3",2013-07-15,595
"18","knitr","1.4.1",2013-08-12,725
"19","knitr","1.4",2013-08-10,725
"20","knitr","1.5",2013-09-28,720
"21","knitr","1.6",2014-05-25,967
"22","knitr","1.7",2014-10-13,807
"23","knitr","1.8",2014-11-11,782
"24","knitr","1.9",2015-01-20,659
"25","knitr","1.10.5",2015-05-06,672
"26","knitr","1.10",2015-04-23,672
"27","knitr","1.11",2015-08-14,673
"28","knitr","1.12.3",2016-01-22,811
"29","knitr","1.12",2016-01-07,686
"30","knitr","1.13",2016-05-09,866
"31","knitr","1.14",2016-08-13,1024
"32","knitr","1.15.1",2016-11-22,1024
"33","knitr","1.15",2016-11-09,1024
"34","knitr","1.16",2017-05-18,1024
"35","knitr","1.17",2017-08-10,752
"36","knitr","1.18",2017-12-27,635
"37","knitr","1.19",2018-01-29,635
